roi_name,participation_coef,within_module_zscore
AUD_left,0.6041566679696653,-0.6865887385010088
PtPD_left,0.28471444097456716,0.3302926852050741
RSD_left,0.08564696582448938,-1.5144272753081038
RSGc_left,0.06437904290982031,-0.3137633623075696
S1_left,0.757545108104237,-0.23883751487171656
SaM_left,0.844097352231618,0.8112683770287115
SaP_left,0.5777731249174465,0.32198868375951134
V1_left,0.6846620080560787,0.5330590635598821
V2L_left,0.5229537425749179,-0.9807429141275091
V2ML_left,0.8635130086953584,-0.1944204505391542
Acumbens_right,0.759792592085733,1.1759632050919944
AIP_right,0.05238249514802885,2.240146717831141
GIDI_right,0.7959417206311854,-1.8885982981561802
RSD_right,0.07921945051575399,2.270885662108594
RSGb_right,0.6848002383940514,2.0188131356734567
S1FL_right,0.20282038992422635,1.1719671010506412
SaA_right,0.8009656624444014,0.3966834454939553
SaM_right,0.5210712616167098,-0.4708842218046417
Thalamus_A_right,0.31074934476752475,2.187031025305438
Thalamus_P_right,0.41773788244196286,2.940387474674947
V1B_right,0.07463811389655278,2.7024523047991877
V1M_right,0.15812645055462063,1.972655647101555
Acumbens_left,0.6334432407834584,0.536070615988434
S1DZ_left,0.6130548750695977,-1.8124779484232572
SaA_left,0.5853850469886909,-0.006681199680124843
IL_right,0.38379947220783855,0.9847124026145038
Cg_left,0.9175726441366137,-1.9325421956243316
PrL_left,0.9033267447353203,0.5926830902730124
